artistID,Artist_name,Genre,Image
null,Lana Del Rey,Pop,/artistphotos/Lana_Del_Rey.jfif
null,Angele,Pop,/artistphotos/Angele.jfif
null,Arctic Monkeys,Rock,/artistphotos/Arctic_Monkeys.jfif
null,The Hu,Metal,/artistphotos/The_Hu.jfif
null,Rammstein,Metal,/artistphotos/Rammstein.jfif
null,Seven Lions,EDM,/artistphotos/Seven_Lions.jfif
null,Milky Chance,Rock,/artistphotos/Milky_Chance.jfif
null,Martin Garrix,EDM,/artistphotos/Martin_Garrix.jfif
null,The Neighbourhood,Rock,/artistphotos/NBHD.jfif
null,MGMT,Pop,/artistphotos/MGMT.jfif
null,Cage the Elephant,Rock,/artistphotos/Cage_the_Elephant.jfif
null,Slander,EDM,/artistphotos/Slander.jfif
null,Illenium,EDM,/artistphotos/Illenium.jfif
null,Two Door Cinema,Pop,/artistphotos/Two_Door_Cinema.jpg
